"Date","Number 1","Number 2","Number 3","Number 4","Number 5","Megaball","Megaplier","Jackpot"
"06/11/2021","4","68","63","56","43","13","4","20000000.0000"
"06/08/2021","54","41","9","39","22","19","3","56000000.0000"
"06/04/2021","34","4","64","30","41","8","3","45000000.0000"
"06/01/2021","63","7","33","58","11","23","2","34000000.0000"
"05/28/2021","47","14","10","70","20","15","2","22000000.0000"
"05/25/2021","31","54","34","21","14","11","3","20000000.0000"
"05/21/2021","18","6","17","9","48","8","3","515000000.0000"
"05/18/2021","3","66","61","56","5","4","2","475000000.0000"
"05/14/2021","41","18","3","68","44","3","2","430000000.0000"
"05/11/2021","20","8","7","39","36","22","3","402000000.0000"
"05/07/2021","5","21","10","19","50","10","4","370000000.0000"
"05/04/2021","4","63","32","57","27","22","3","345000000.0000"
"04/30/2021","48","49","26","8","19","5","3","319000000.0000"
"04/27/2021","41","42","15","30","22","25","4","297000000.0000"
"04/23/2021","29","4","28","30","60","25","3","277000000.0000"
"04/20/2021","43","52","49","23","6","5","3","257000000.0000"
"04/16/2021","55","27","50","28","17","25","4","240000000.0000"
"04/13/2021","15","10","68","19","45","9","4","220000000.0000"
"04/09/2021","58","27","66","26","22","12","2","201000000.0000"
"04/06/2021","19","20","32","42","1","17","3","184000000.0000"
"04/02/2021","42","53","48","10","62","19","2","168000000.0000"
"03/30/2021","11","53","47","56","37","15","3","152000000.0000"
"03/26/2021","67","46","4","37","25","15","3","137000000.0000"
"03/23/2021","55","23","35","12","38","11","2","122000000.0000"
"03/19/2021","40","69","58","14","9","8","3","105000000.0000"
"03/16/2021","69","46","52","41","10","8","2","93000000.0000"
"03/12/2021","31","2","65","24","25","18","4","79000000.0000"
"03/09/2021","33","65","58","4","46","13","2","68000000.0000"
"03/05/2021","54","10","11","27","17","20","2","55000000.0000"
"03/02/2021","8","34","4","64","13","18","2","43000000.0000"
"02/26/2021","37","11","15","64","62","5","2","30000000.0000"
"02/23/2021","9","57","7","20","5","15","3","22000000.0000"
"02/19/2021","27","53","47","50","32","4","4","20000000.0000"
"02/16/2021","1","44","66","54","36","10","3","96000000.0000"
"02/12/2021","25","27","24","5","14","14","3","82000000.0000"
"02/09/2021","18","21","40","7","31","9","4","68000000.0000"
"02/05/2021","29","14","17","28","44","2","4","54000000.0000"
"02/02/2021","67","38","37","40","13","10","2","42000000.0000"
"01/29/2021","58","59","70","44","4","3","3","25000000.0000"
"01/26/2021","49","29","67","56","66","24","3","20000000.0000"
"01/22/2021","42","26","60","50","4","24","2","1000000000.0000"
"01/19/2021","10","19","26","50","28","16","2","865000000.0000"
"01/15/2021","12","43","11","3","38","15","4","750000000.0000"
"01/12/2021","28","12","14","26","33","9","2","625000000.0000"
"01/08/2021","18","3","58","16","6","11","2","520000000.0000"
"01/05/2021","43","20","51","57","55","4","2","447000000.0000"
"01/01/2021","24","68","69","53","8","7","5","401000000.0000"
"12/29/2020","62","31","35","48","1","19","3","376000000.0000"
"12/25/2020","69","36","70","23","17","19","2","352000000.0000"
"12/22/2020","67","29","56","53","59","21","2","330000000.0000"
"12/18/2020","51","15","25","7","60","5","3","310000000.0000"
"12/15/2020","18","10","46","1","20","15","2","291000000.0000"
"12/11/2020","31","67","19","37","55","25","4","276000000.0000"
"12/08/2020","15","68","39","33","19","25","3","264000000.0000"
"12/04/2020","44","24","50","3","19","8","3","244000000.0000"
"12/01/2020","33","53","7","65","61","14","2","229000000.0000"
"11/27/2020","4","35","10","58","27","10","2","214000000.0000"
"11/24/2020","9","34","61","15","64","6","2","200000000.0000"
"11/20/2020","26","33","68","45","61","17","3","188000000.0000"
"11/17/2020","8","13","68","46","35","16","3","176000000.0000"
"11/13/2020","6","7","28","59","14","7","2","165000000.0000"
"11/10/2020","53","45","58","62","23","13","5","152000000.0000"
"11/06/2020","60","18","24","27","34","2","2","142000000.0000"
"11/03/2020","45","44","7","31","55","19","3","129000000.0000"
"10/30/2020","19","34","39","14","59","11","2","118000000.0000"
"10/27/2020","34","13","46","6","62","1","3","109000000.0000"
"10/23/2020","69","60","34","18","44","22","2","97000000.0000"
"10/20/2020","46","54","58","57","66","10","3","86000000.0000"
"10/16/2020","32","27","50","57","52","12","5","77000000.0000"
"10/13/2020","46","44","45","11","70","25","2","69000000.0000"
"10/09/2020","11","27","5","25","64","13","2","60000000.0000"
"10/06/2020","59","18","15","16","39","17","3","50000000.0000"
"10/02/2020","9","47","68","49","38","25","2","41000000.0000"
"09/29/2020","44","14","67","39","43","19","3","32000000.0000"
"09/25/2020","48","20","36","67","37","16","2","24000000.0000"
"09/22/2020","36","55","43","44","68","12","4","22000000.0000"
"09/18/2020","26","41","52","29","64","11","3","20000000.0000"
"09/15/2020","59","28","25","38","62","22","4","119000000.0000"
"09/11/2020","15","3","48","56","42","13","2","108000000.0000"
"09/08/2020","15","31","57","10","7","21","2","97000000.0000"
"09/04/2020","28","22","53","24","19","25","3","88000000.0000"
"09/01/2020","15","38","25","47","26","22","4","78000000.0000"
"08/28/2020","9","53","50","3","64","1","3","68000000.0000"
"08/25/2020","8","57","17","10","15","12","3","57000000.0000"
"08/21/2020","15","42","31","11","63","14","2","49000000.0000"
"08/18/2020","27","4","58","18","26","23","4","40000000.0000"
"08/14/2020","47","3","42","29","24","13","2","31000000.0000"
"08/11/2020","22","56","43","29","8","9","4","24000000.0000"
"08/07/2020","44","53","4","70","64","3","2","22000000.0000"
"08/04/2020","42","30","2","62","22","20","3","20000000.0000"
"07/31/2020","46","69","48","12","35","23","2","22000000.0000"
"07/28/2020","27","20","34","17","31","19","4","20000000.0000"
"07/24/2020","39","33","8","54","58","17","3","124000000.0000"
"07/21/2020","41","14","25","26","43","15","3","113000000.0000"
"07/17/2020","13","46","57","21","12","21","3","101000000.0000"
"07/14/2020","26","55","56","6","64","22","4","91000000.0000"
"07/10/2020","20","53","10","15","49","22","5","83000000.0000"
"07/07/2020","30","16","43","20","25","18","3","73000000.0000"
"07/03/2020","50","44","40","45","20","24","2","62000000.0000"
"06/30/2020","53","37","29","9","16","11","2","53000000.0000"
"06/26/2020","19","37","33","56","57","6","2","44000000.0000"
"06/23/2020","20","48","6","37","40","15","3",""
"06/19/2020","34","52","36","11","66","7","2","26000000.0000"
"06/16/2020","21","35","23","42","33","6","3","22000000.0000"
"06/12/2020","57","70","9","14","67","2","3","20000000.0000"
"06/09/2020","5","1","9","10","23","22","2","410000000.0000"
"06/05/2020","35","47","32","37","55","22","3","378000000.0000"
"06/02/2020","9","23","26","20","29","8","3","356000000.0000"
"05/29/2020","32","41","13","51","10","3","2","336000000.0000"
"05/26/2020","58","59","34","52","62","4","3","313000000.0000"
"05/22/2020","20","44","10","8","46","18","4","298000000.0000"
"05/19/2020","36","19","8","66","25","9","2","274000000.0000"
"05/15/2020","33","32","11","46","17","25","3","266000000.0000"
"05/12/2020","27","52","7","44","16","5","5","248000000.0000"
"05/08/2020","5","22","61","20","70","4","2","231000000.0000"
"05/05/2020","7","17","13","21","45","14","2","215000000.0000"
"05/01/2020","30","28","66","35","31","14","2","200000000.0000"
"04/28/2020","53","13","63","54","19","17","3","186000000.0000"
"04/24/2020","27","1","32","60","67","18","2","174000000.0000"
"04/21/2020","24","15","67","13","70","17","2","164000000.0000"
"04/17/2020","55","39","35","13","46","14","4","159000000.0000"
"04/14/2020","29","70","47","69","65","7","4","145000000.0000"
"04/10/2020","60","57","11","2","21","13","2","136000000.0000"
"04/07/2020","68","25","33","51","43","20","2","127000000.0000"
"04/03/2020","44","38","24","57","58","17","4","121000000.0000"
"03/31/2020","51","70","57","17","8","2","4","113000000.0000"
"03/27/2020","50","25","60","28","3","1","4","107000000.0000"
"03/24/2020","31","16","2","8","18","14","2","101000000.0000"
"03/20/2020","35","41","45","34","54","5","4","96000000.0000"
"03/17/2020","27","28","58","59","20","25","3","90000000.0000"
"03/13/2020","44","22","43","37","7","22","4","80000000.0000"
"03/10/2020","54","17","6","69","48","12","5","75000000.0000"
"03/06/2020","70","56","15","48","58","4","4","70000000.0000"
"03/03/2020","12","8","33","56","64","2","2","65000000.0000"
"02/28/2020","2","64","14","3","41","17","2","60000000.0000"
"02/25/2020","49","2","43","9","63","15","2","55000000.0000"
"02/21/2020","7","16","60","4","13","6","4","50000000.0000"
"02/18/2020","70","61","6","12","39","4","3","45000000.0000"
"02/14/2020","55","32","48","10","54","18","5","40000000.0000"
"02/11/2020","32","64","6","4","52","6","2","202000000.0000"
"02/07/2020","9","14","52","27","36","4","3","187000000.0000"
"02/04/2020","51","50","64","48","32","10","2","168000000.0000"
"01/31/2020","28","31","57","33","62","19","2","155000000.0000"
"01/28/2020","17","47","36","51","62","21","3","141000000.0000"
"01/24/2020","4","38","3","23","18","24","4","130000000.0000"
"01/21/2020","29","16","31","37","18","8","3","116000000.0000"
"01/17/2020","54","70","25","3","30","9","3","103000000.0000"
"01/14/2020","13","11","47","9","31","11","2","91000000.0000"
"01/10/2020","66","51","49","17","27","2","2","80000000.0000"
"01/07/2020","25","56","52","40","41","21","4","69000000.0000"
"01/03/2020","37","41","53","63","42","16","2","60000000.0000"
"12/31/2019","49","44","56","53","30","11","3","55000000.0000"
"12/27/2019","34","64","40","63","17","24","4","50000000.0000"
"12/24/2019","63","66","37","48","27","11","2","45000000.0000"
"12/20/2019","35","60","23","20","3","16","3","40000000.0000"
"12/17/2019","55","56","30","53","22","16","2","372000000.0000"
"12/13/2019","56","21","39","17","29","22","3","340000000.0000"
"12/10/2019","61","46","54","18","31","25","2","314000000.0000"
"12/06/2019","40","31","61","20","46","20","5","285000000.0000"
"12/03/2019","60","23","43","63","69","19","2","266000000.0000"
"11/29/2019","6","31","50","65","8","9","2","243000000.0000"
"11/26/2019","38","29","43","8","27","13","2","226000000.0000"
"11/22/2019","7","17","12","53","49","24","4","208000000.0000"
"11/19/2019","47","43","22","44","66","22","3","192000000.0000"
"11/15/2019","35","19","12","68","34","20","2","178000000.0000"
"11/12/2019","19","65","56","30","44","24","2","163000000.0000"
"11/08/2019","10","58","4","39","3","14","3","145000000.0000"
"11/05/2019","9","24","49","2","54","19","3","127000000.0000"
"11/01/2019","20","41","54","36","9","22","2","118000000.0000"
"10/29/2019","9","27","4","39","17","22","2","105000000.0000"
"10/25/2019","24","52","16","25","60","6","3","93000000.0000"
"10/22/2019","14","25","23","5","11","10","4","82000000.0000"
"10/18/2019","67","18","58","65","60","20","3","71000000.0000"
"10/15/2019","14","4","35","12","70","2","2","65000000.0000"
"10/11/2019","60","30","22","37","14","8","3","60000000.0000"
"10/08/2019","10","48","8","5","17","23","3","55000000.0000"
"10/04/2019","11","70","48","38","44","17","2","50000000.0000"
"10/01/2019","39","59","42","17","10","3","2","45000000.0000"
"09/27/2019","43","12","20","45","31","20","3","40000000.0000"
"09/24/2019","46","6","42","14","24","9","4","227000000.0000"
"09/20/2019","42","23","48","53","24","22","2","211000000.0000"
"09/17/2019","50","12","15","30","65","1","4","192000000.0000"
"09/13/2019","6","62","37","16","59","5","2","172000000.0000"
"09/10/2019","50","47","48","55","34","24","2","154000000.0000"
"09/06/2019","4","31","19","11","13","10","4","139000000.0000"
"09/03/2019","61","13","62","27","20","5","2","127000000.0000"
"08/30/2019","39","3","11","34","9","10","4","113000000.0000"
"08/27/2019","8","39","43","12","23","6","2","103000000.0000"
"08/23/2019","15","68","54","11","37","21","2","90000000.0000"
"08/20/2019","25","14","51","8","63","4","3","79000000.0000"
"08/16/2019","46","24","4","26","14","14","2","70000000.0000"
"08/13/2019","51","7","34","31","27","5","3","65000000.0000"
"08/09/2019","56","63","59","15","53","1","2","60000000.0000"
"08/06/2019","43","31","17","55","11","16","2","55000000.0000"
"08/02/2019","48","20","70","11","26","19","2","50000000.0000"
"07/30/2019","33","38","10","24","28","6","3","45000000.0000"
"07/26/2019","48","4","43","6","11","11","3","40000000.0000"
"07/23/2019","4","23","40","1","45","11","2","168000000.0000"
"07/19/2019","67","28","18","33","16","14","3","154000000.0000"
"07/16/2019","8","16","31","48","52","23","3","137000000.0000"
"07/12/2019","38","56","59","8","25","7","2","121000000.0000"
"07/09/2019","12","48","64","26","40","1","2","107000000.0000"
"07/05/2019","57","47","6","38","63","12","2","95000000.0000"
"07/02/2019","25","37","40","55","3","13","2","83000000.0000"
"06/28/2019","2","53","49","63","35","1","2","71000000.0000"
"06/25/2019","24","61","47","45","33","17","3","60000000.0000"
"06/21/2019","48","30","13","62","36","18","3","55000000.0000"
"06/18/2019","14","22","12","48","24","21","2","50000000.0000"
"06/14/2019","40","65","19","47","57","6","2","45000000.0000"
"06/11/2019","34","20","39","57","43","13","3","40000000.0000"
"06/07/2019","27","68","17","19","40","2","3","530000000.0000"
"06/04/2019","46","25","48","68","37","25","2","475000000.0000"
"05/31/2019","67","8","26","7","65","4","3","444000000.0000"
"05/28/2019","50","9","42","21","34","21","2","418000000.0000"
"05/24/2019","62","14","44","56","41","10","2","393000000.0000"
"05/21/2019","58","55","10","50","56","15","5","367000000.0000"
"05/17/2019","5","32","28","17","63","11","3","339000000.0000"
"05/14/2019","67","68","11","59","66","18","4","316000000.0000"
"05/10/2019","61","62","21","16","3","19","2","295000000.0000"
"05/07/2019","54","3","63","6","34","19","3","273000000.0000"
"05/03/2019","16","8","68","66","22","11","2","252000000.0000"
"04/30/2019","37","41","70","24","61","20","3","229000000.0000"
"04/26/2019","30","46","23","9","17","10","4","212000000.0000"
"04/23/2019","7","67","30","48","24","9","4","192000000.0000"
"04/19/2019","44","43","18","57","25","25","4","175000000.0000"
"04/16/2019","11","34","29","54","48","10","2","157000000.0000"
"04/12/2019","24","25","1","70","40","4","2","140000000.0000"
"04/09/2019","22","11","58","34","44","9","2","120000000.0000"
"04/05/2019","38","8","22","64","24","21","2","104000000.0000"
"04/02/2019","64","47","59","58","33","25","3","88000000.0000"
"03/29/2019","66","15","62","5","14","3","3","75000000.0000"
"03/26/2019","4","14","22","43","58","9","3","57000000.0000"
"03/22/2019","36","62","58","60","7","10","3","50000000.0000"
"03/19/2019","67","10","42","68","53","15","3","45000000.0000"
"03/15/2019","64","62","56","3","29","4","3","40000000.0000"
"03/12/2019","16","57","12","49","10","18","4","50000000.0000"
"03/08/2019","68","42","4","9","62","7","4","45000000.0000"
"03/05/2019","15","32","20","52","37","6","3","40000000.0000"
"03/01/2019","33","29","66","39","60","21","2","267000000.0000"
"02/26/2019","10","12","60","24","14","20","3","245000000.0000"
"02/22/2019","34","55","18","24","31","4","4","224000000.0000"
"02/19/2019","65","24","56","34","17","3","2","206000000.0000"
"02/15/2019","65","43","40","38","10","12","2","190000000.0000"
"02/12/2019","15","39","65","50","32","7","3","173000000.0000"
"02/08/2019","42","48","31","24","14","13","3","157000000.0000"
"02/05/2019","36","66","3","34","59","7","2","139000000.0000"
"02/01/2019","2","37","48","66","68","11","5","125000000.0000"
"01/29/2019","10","54","53","33","62","22","2","109000000.0000"
"01/25/2019","61","8","16","30","38","10","2","96000000.0000"
"01/22/2019","4","15","37","64","59","16","5","82000000.0000"
"01/18/2019","2","43","48","62","64","24","3","68000000.0000"
"01/15/2019","60","58","29","52","62","7","2","55000000.0000"
"01/11/2019","31","5","4","62","69","20","3","50000000.0000"
"01/08/2019","13","38","26","29","64","5","5","45000000.0000"
"01/04/2019","29","60","35","21","54","15","4","40000000.0000"
"01/01/2019","57","70","34","62","44","14","4","425000000.0000"
"12/28/2018","9","38","37","10","25","21","2","370000000.0000"
"12/25/2018","8","42","50","43","2","6","3","321000000.0000"
"12/21/2018","70","13","61","10","62","5","3","305000000.0000"
"12/18/2018","69","32","13","60","22","9","3","284000000.0000"
"12/14/2018","26","5","49","43","22","23","4","262000000.0000"
"12/11/2018","59","38","4","54","39","12","2","245000000.0000"
"12/07/2018","33","4","10","20","57","13","3","226000000.0000"
"12/04/2018","28","41","50","31","42","4","3","208000000.0000"
"11/30/2018","25","63","40","43","28","19","3","190000000.0000"
"11/27/2018","24","42","57","37","12","18","4","172000000.0000"
"11/23/2018","10","7","30","33","59","23","4","155000000.0000"
"11/20/2018","16","31","66","10","42","10","3","139000000.0000"
"11/16/2018","63","36","33","68","69","16","3","122000000.0000"
"11/13/2018","65","69","46","57","34","11","3","106000000.0000"
"11/09/2018","27","67","8","14","57","5","4","90000000.0000"
"11/06/2018","28","34","56","69","37","12","2","70000000.0000"
"11/02/2018","62","3","28","46","23","16","2","52000000.0000"
"10/30/2018","20","49","39","31","46","23","2","45000000.0000"
"10/26/2018","28","1","61","63","62","5","4","40000000.0000"
"10/23/2018","28","70","5","62","65","5","3","1600000000.0000"
"10/19/2018","65","53","23","15","70","7","2","1000000000.0000"
"10/16/2018","69","45","61","3","49","9","5","667000000.0000"
"10/12/2018","70","24","46","4","61","7","3","548000000.0000"
"10/09/2018","54","22","39","20","60","18","3","470000000.0000"
"10/05/2018","41","32","27","69","28","12","2","420000000.0000"
"10/02/2018","2","29","34","31","22","1","3","367000000.0000"
"09/28/2018","39","56","45","52","59","15","3","336000000.0000"
"09/25/2018","48","32","8","61","16","12","2","303000000.0000"
"09/21/2018","11","52","64","2","1","9","4","275000000.0000"
"09/18/2018","43","32","31","63","68","17","2","252000000.0000"
"09/14/2018","40","66","23","30","43","13","4","227000000.0000"
"09/11/2018","62","51","15","30","67","19","2","207000000.0000"
"09/07/2018","8","68","10","54","41","10","2","187000000.0000"
"09/04/2018","2","25","44","35","7","3","3","167000000.0000"
"08/31/2018","7","18","45","32","29","17","3","152000000.0000"
"08/28/2018","33","34","20","3","41","20","3","134000000.0000"
"08/24/2018","6","1","18","13","49","8","2","118000000.0000"
"08/21/2018","57","38","19","14","16","11","3","102000000.0000"
"08/17/2018","47","32","1","56","31","3","2","88000000.0000"
"08/14/2018","44","26","11","45","46","11","2","75000000.0000"
"08/10/2018","3","42","22","12","1","6","5","63000000.0000"
"08/07/2018","13","21","62","2","15","2","5","55000000.0000"
"08/03/2018","30","60","28","54","9","2","2","50000000.0000"
"07/31/2018","35","64","15","69","12","9","2","45000000.0000"
"07/27/2018","49","1","63","40","32","20","3","40000000.0000"
"07/24/2018","19","2","4","1","29","20","3","522000000.0000"
"07/20/2018","44","14","30","62","1","1","2","433000000.0000"
"07/17/2018","61","40","66","67","41","12","5","375000000.0000"
"07/13/2018","39","22","68","21","59","2","2","340000000.0000"
"07/10/2018","28","56","70","1","17","14","3","306000000.0000"
"07/06/2018","56","50","46","2","10","16","3","283000000.0000"
"07/03/2018","68","13","45","35","49","23","2","256000000.0000"
"06/29/2018","68","49","32","2","47","23","4","232000000.0000"
"06/26/2018","39","25","60","29","17","19","2","212000000.0000"
"06/22/2018","44","11","6","2","27","20","2","192000000.0000"
"06/19/2018","13","28","11","70","65","14","3","175000000.0000"
"06/15/2018","37","51","11","1","47","6","2","161000000.0000"
"06/12/2018","70","3","5","1","8","3","2","144000000.0000"
"06/08/2018","33","56","30","14","44","13","2","127000000.0000"
"06/05/2018","48","52","33","41","22","4","2","110000000.0000"
"06/01/2018","24","52","62","5","66","17","3","97000000.0000"
"05/29/2018","58","2","67","11","55","2","3","84000000.0000"
"05/25/2018","68","64","51","11","14","25","4","73000000.0000"
"05/22/2018","36","16","21","17","48","9","3","60000000.0000"
"05/18/2018","53","9","26","64","66","11","2","55000000.0000"
"05/15/2018","44","49","21","61","34","21","2","50000000.0000"
"05/11/2018","38","14","40","70","53","22","3","45000000.0000"
"05/08/2018","64","67","39","8","15","13","2","40000000.0000"
"05/04/2018","10","4","12","18","5","21","4","143000000.0000"
"05/01/2018","55","70","2","20","7","1","4","126000000.0000"
"04/27/2018","38","2","63","66","29","11","2","111000000.0000"
"04/24/2018","48","32","3","19","31","10","3","96000000.0000"
"04/20/2018","32","45","1","18","15","4","2","80000000.0000"
"04/17/2018","47","44","34","65","12","22","4","67000000.0000"
"04/13/2018","8","9","42","32","59","10","4","55000000.0000"
"04/10/2018","43","31","5","13","53","20","2","50000000.0000"
"04/06/2018","33","51","67","16","54","20","4","45000000.0000"
"04/03/2018","39","4","29","62","42","14","2","40000000.0000"
"03/30/2018","59","46","28","11","31","1","3","521000000.0000"
"03/27/2018","25","56","7","43","59","13","3","458000000.0000"
"03/23/2018","59","53","23","4","8","17","3","421000000.0000"
"03/20/2018","14","38","51","70","64","9","3","377000000.0000"
"03/16/2018","26","52","33","1","13","11","3","345000000.0000"
"03/13/2018","6","30","61","60","58","17","5","318000000.0000"
"03/09/2018","18","46","17","66","7","22","4","290000000.0000"
"03/06/2018","1","4","39","35","26","22","5","265000000.0000"
"03/02/2018","60","64","28","24","42","8","4","243000000.0000"
"02/27/2018","10","38","17","21","43","23","3","222000000.0000"
"02/23/2018","13","58","11","19","7","9","4","204000000.0000"
"02/20/2018","24","43","17","19","23","14","3","185000000.0000"
"02/16/2018","38","48","58","14","53","16","3","168000000.0000"
"02/13/2018","5","46","15","49","12","1","4","153000000.0000"
"02/09/2018","28","41","34","47","46","14","3","136000000.0000"
"02/06/2018","25","14","48","17","58","25","3","120000000.0000"
"02/02/2018","17","40","4","1","14","4","3","104000000.0000"
"01/30/2018","29","57","49","42","41","24","3","89000000.0000"
"01/26/2018","27","38","43","16","10","1","4","76000000.0000"
"01/23/2018","31","30","55","6","2","7","4","63000000.0000"
"01/19/2018","49","3","23","66","17","23","3","55000000.0000"
"01/16/2018","3","29","59","23","11","18","3","50000000.0000"
"01/12/2018","46","17","33","60","18","24","4","45000000.0000"
"01/09/2018","16","29","67","31","65","23","3","40000000.0000"
"01/05/2018","70","59","30","28","39","10","3","450000000.0000"
"01/02/2018","1","42","64","47","70","22","4","361000000.0000"
"12/29/2017","28","4","10","62","18","7","2","306000000.0000"
"12/26/2017","41","12","10","38","20","25","4","277000000.0000"
"12/22/2017","30","33","42","1","20","16","4","253000000.0000"
"12/19/2017","37","39","58","28","42","2","3","223000000.0000"
"12/15/2017","4","44","57","36","12","19","4","208000000.0000"
"12/12/2017","24","25","23","27","8","9","2","191000000.0000"
"12/08/2017","46","6","60","37","70","24","2","176000000.0000"
"12/05/2017","15","42","67","14","37","22","4","160000000.0000"
"12/01/2017","41","22","59","40","16","8","4","145000000.0000"
"11/28/2017","10","47","17","51","61","5","2","132000000.0000"
"11/24/2017","16","36","54","61","64","22","3","119000000.0000"
"11/21/2017","7","3","27","50","22","3","3","106000000.0000"
"11/17/2017","26","55","70","58","3","15","4","95000000.0000"
"11/14/2017","14","1","21","22","28","19","3","82000000.0000"
"11/10/2017","6","38","42","23","58","24","2","71000000.0000"
"11/07/2017","1","68","69","60","54","11","4","59000000.0000"
"11/03/2017","69","10","61","42","22","3","2","48000000.0000"
"10/31/2017","31","53","6","28","52","12","4","40000000.0000"
"10/27/2017","51","41","27","52","17","13","5","30000000.0000"
"10/24/2017","24","64","34","56","20","6","4","25000000.0000"
"10/20/2017","63","6","73","66","23","9","2","20000000.0000"
"10/17/2017","49","70","56","31","45","11","5","15000000.0000"
"10/13/2017","31","7","26","2","18","12","2","43000000.0000"
"10/10/2017","16","7","61","62","24","2","5","36000000.0000"
"10/06/2017","33","56","21","45","36","12","5","30000000.0000"
"10/03/2017","25","18","19","12","67","7","5","25000000.0000"
"09/29/2017","62","73","74","51","25","7","5","20000000.0000"
"09/26/2017","10","66","1","75","57","4","4","15000000.0000"
"09/22/2017","63","39","54","5","66","15","5","104000000.0000"
"09/19/2017","9","61","50","28","31","10","2","94000000.0000"
"09/15/2017","38","34","18","58","24","3","4","86000000.0000"
"09/12/2017","37","65","26","54","41","3","4","76000000.0000"
"09/08/2017","4","73","14","26","5","14","3","70000000.0000"
"09/05/2017","17","59","70","11","72","1","3","61000000.0000"
